Author,Mapped Genres
kelly quindlen,"romance, lgbt, young adult, lesbian, queer, contemporary, enemies to lovers"
black holly,"graphic novel, fantasy, young adult, comic book, urban, fae, fiction"
jo langford,"non-fiction, lgbt, queer, parenting, sexuality, health, gender and sexuality"
robert shapard,"short stories, fiction, school, anthology, college, school, short stories"
shou harusono,"manga, romance, boys love, lgbt, queer, contemporary, young adult"
william p. young,"fiction, christianity, christianity, spirituality, faith, religion, inspirational"
bill konigsberg,"young adult, lgbt, contemporary, romance, queer, fiction, audiobook"
sara l. biren,"romance, young adult, sports, contemporary, hockey, young adult, sports"
heidi w. durrow,"fiction, young adult, historical, coming of age, audiobook, african american, race"
robert shapard,"short stories, fiction, anthology, fiction"
karen thompson walker,"fiction, young adult, science fiction, dystopia, coming of age, fantasy, audiobook"
lu marie,"fantasy, young adult, romance, dystopia, young adult, fiction, magic"
alison umminger,"young adult, contemporary, fiction, realistic fiction, romance, coming of age, young adult"
walker margaret,"historical, fiction, classics, african american, historical, civil war, audiobook"
t.c. boyle,"fiction, historical, humor, historical, , , health"
mafi tahereh,"fantasy, dystopia, young adult, romance, fiction, novella, science fiction"
elin hilderbrand,"fiction, chick lit, romance, audiobook, contemporary, adult, womens"
king stephen,"horror, fiction, fantasy, thriller, science fiction, mystery, supernatural"
alice l. george,"biography, non-fiction, historical, american, space"
andrea robertson,"young adult, fantasy, paranormal, werewolves, romance, supernatural, paranormal"
l. jon wertherim,"sports, realistic fiction, mathematics, middle grade, fiction, humor, childrens"
dave eggers,"fiction, science fiction, dystopia, audiobook, contemporary, adult, "
adriana trigiani,"fiction, chick lit, romance, contemporary, adult, southern, audiobook"
gay roxane,"graphic novel, science fiction, comic book, fiction, fantasy, young adult, romance"
david baldacci,"thriller, fiction, mystery, audiobook, crime, suspense, mystery"
bray libba,"fantasy, young adult, historical, historical, fiction, romance, paranormal"
joseph bruchac,"historical, middle grade, historical, native american, fiction, indigenous, young adult"
kent haruf,"fiction, literary fiction, contemporary, , , adult, audiobook"
levin jenifer,"fiction, lgbt, queer"
robinson elisabeth,"fiction, chick lit, contemporary, , humor, adult, family"
beah ishmael,"non-fiction, memoir, biography, war, historical, biography, autobiography"
david valdes,"lgbt, young adult, romance, time travel, contemporary, queer, science fiction"
john updike,"fiction, historical, historical, , american, literary fiction, "
lundin britta,"lgbt, young adult, lesbian, contemporary, sports, romance, queer"
echo brown,"fantasy, young adult, magic, contemporary, fiction, audiobook, young adult"
tom perrotta,"fiction, fantasy, science fiction, dystopia, audiobook, contemporary, adult"
olivia a. cole,"poetry, young adult, contemporary, lgbt, mental health, fiction, queer"
laurie halse anderson,"young adult, fiction, realistic fiction, contemporary, romance, teen, high school"
bret easton ellis,"fiction, horror, classics, thriller, crime, contemporary, "
weeks sarah,"middle grade, realistic fiction, fiction, school, audiobook, childrens, young adult"
john grisham,"fiction, thriller, mystery, crime, law, suspense, mystery"
king stephen,"horror, fiction, fantasy, science fiction, post apocalyptic, thriller, dystopia"
anne mccaffrey,"fantasy, science fiction, dragons, fiction, science fiction, young adult, high fantasy"
norman philip,"music, biography, non-fiction, historical, audiobook, biography, pop culture"
gayle forman,"young adult, romance, contemporary, fiction, realistic fiction, teen, music"
maupin armistead,"fiction, lgbt, queer, humor, classics, gay, audiobook"
sarah j. maas,"fantasy, romance, romance, fiction, fae, fantasy, audiobook"
forest laurie,"fantasy, young adult, romance, audiobook, magic, witches, young adult"
dee barbara,"middle grade, lgbt, contemporary, romance, queer, realistic fiction, fiction"
ibram x. kendi,"non-fiction, historical, race, social, politics, anti racist, audiobook"
juno dawson,"non-fiction, lgbt, , queer, gay, self help, humor"
sarah e. king,biography
hannah kristin,"fiction, romance, chick lit, contemporary, contemporary, adult, adult"
king stephen,"horror, fiction, fantasy, thriller, mystery, audiobook, romance"
norton preston,"young adult, romance, contemporary, lgbt, fantasy, fiction, magic"
miles orvell,"photography, art, art, non-fiction"
allison dorothy,"fiction, classics, southern, coming of age, literary fiction, queer, "
lamb wally,"fiction, contemporary, chick lit, coming of age, adult, , adult"
jules machias,"lgbt, middle grade, queer, contemporary, romance, young adult, realistic fiction"
robert james waller,"fiction, romance, , adult, chick lit, classics, drama"
lynn nottage,"plays, drama, fiction, theatre, school, school, college"
brown pierce,"science fiction, fantasy, fiction, dystopia, young adult, audiobook, science fiction"
shelby mahurin,"fantasy, romance, young adult, witches, audiobook, young adult, romance"
russo meredith,"young adult, lgbt, contemporary, romance, fiction, queer, transgender"
ellen hopkins,"young adult, poetry, fiction, contemporary, realistic fiction, mental health, teen"
donna gephart,"middle grade, realistic fiction, fiction, young adult, lgbt, contemporary, childrens"
raymond chandler,"mystery, fiction, crime, noir, classics, detective, thriller"
roy arundhati,"fiction, india, historical, classics, literary fiction, contemporary, india"
ryan la sala,"horror, young adult, lgbt, mystery, queer, thriller, audiobook"
nalo hopkinson,"short stories, fantasy, horror, fiction, science fiction, queer, fiction"
david levithan,"young adult, contemporary, fiction, lgbt, romance, realistic fiction, audiobook"
elena poniatowska,"fiction, historical, spain, latin american, contemporary, 20th century, womens"
brodsky daniella,young adult
laurie halse anderson,"young adult, fiction, contemporary, realistic fiction, mental health, coming of age, teen"
kantor melissa,"young adult, romance, contemporary, fiction, chick lit, teen, realistic fiction"
todd anna,"new adult, contemporary, young adult, fiction, college, contemporary, enemies to lovers"
andrea robertson,"young adult, fantasy, paranormal, werewolves, romance, paranormal, supernatural"
brittany cavallaro,"mystery, young adult, contemporary, fiction, retellings, mystery, audiobook"
nancy crocker,"young adult, fiction, historical, realistic fiction, coming of age, contemporary, historical"
caroline b. cooney,"young adult, mystery, fiction, childrens, realistic fiction, middle grade, teen"
george r. r. martin,"colouring, fantasy, colouring, art, high fantasy, reference, adult"
ian mcewan,"fiction, contemporary, literary fiction, british literature, , , 20th century"
tolan stephanie,"young adult, fiction, realistic fiction, middle grade, childrens, humor, contemporary"
r. j. anderson,"young adult, science fiction, fantasy, paranormal, aliens, fiction, lgbt"
mathieu jennifer,"young adult, contemporary, feminism, fiction, realistic fiction, romance, young adult"
baker matthew,"mystery, middle grade, adventure, childrens, fiction, realistic fiction, juvenile"
karen hattrup,"romance, young adult, contemporary, new adult, fiction, college, audiobook"
cross julie,"young adult, time travel, fantasy, romance, science fiction, paranormal, fiction"
melissa de la cruz,"young adult, vampires, fantasy, paranormal, angels, romance, fiction"
kate bassett,"young adult, contemporary, realistic fiction, fiction, romance, family, death"
paolo bacigalupi,"young adult, science fiction, dystopia, fiction, fantasy, post apocalyptic, adventure"
james ramsey ullman,"fiction, young adult, historical, adventure, childrens, classics, school"
jon stewart,"humor, non-fiction, comedy, audiobook, politics, historical, science"
donna jo napoli,"young adult, fiction, realistic fiction, contemporary, romance, teen, illness"
kelley armstrong,"young adult, mystery, thriller, contemporary, fiction, romance, mystery"
c.l. herman,"fantasy, young adult, lgbt, mystery, lesbian, paranormal, thriller"
lewis sinclair,"fiction, classics, , , american, 20th century, literary fiction"
kim on-su,"fiction, thriller, mystery, crime, mystery, asia, audiobook"
jodi lynn anderson,"historical, young adult, science fiction, historical, fiction, audiobook, fantasy"
hardy thomas,"fiction, classics, , 19th century, victorian, , british literature"
nikol hasler,"non-fiction, health"
rice anne,"horror, fantasy, fiction, paranormal, witches, supernatural, urban"
black holly,"fantasy, young adult, romance, fae, fiction, lgbt, urban"
david arnold,"young adult, science fiction, dystopia, fiction, fantasy, post apocalyptic, audiobook"
wittels harriet,reference
pete hautman,"young adult, cults, realistic fiction, contemporary, religion, fiction, cult classics"
cho kat,"fantasy, young adult, romance, mythology, young adult, urban, paranormal"
cohen joshua,"sports, young adult, realistic fiction, contemporary, teen, high school, football"
laura sebastian,"fantasy, young adult, romance, young adult, fiction, magic, audiobook"
sandra cisneros,"poetry, fiction, latin american, feminism, contemporary, latin american, womens"
tonya bolden,"historical, non-fiction, picture books, african american, childrens, biography"
nabokov vladimir,"fiction, , russia, , romance, russia, literary fiction"
jodi picoult,"fiction, contemporary, chick lit, adult, adult, drama, realistic fiction"
louise gornall,"contemporary, young adult, mental health, romance, mental health, fiction, young adult"
isabel allende,"fiction, historical, audiobook, romance, contemporary, literary fiction, spain"
jewel parker rhodes,"middle grade, young adult, fiction, realistic fiction, historical, contemporary, social"
kuehnert stephanie,"young adult, audiobook, coming of age"
purdie kathryn,"fantasy, young adult, romance, young adult, magic, fiction, high fantasy"
zappia francesca,"young adult, contemporary, mental health, romance, mental health, fiction, realistic fiction"
sally rooney,"fiction, contemporary, literary fiction, audiobook, ireland, adult, coming of age"
naylor gloria,"fiction, short stories, classics, historical, african american, literary fiction, contemporary"
henry emily,"romance, fiction, contemporary, audiobook, contemporary, adult, chick lit"
sara bennett-wealer,"young adult, contemporary, music, realistic fiction, chick lit, high school, teen"
sell chad,"graphic novel, middle grade, fantasy, comic book, lgbt, childrens, fiction"
ruta sepetys,"historical, young adult, fiction, historical, war, world war ii, audiobook"
cecily von ziegesar,"young adult, chick lit, contemporary, fiction, romance, teen, boarding school"
davids sharice,"picture books, biography, indigenous, non-fiction, lgbt, native american, childrens"
blum deborah,"science, psychology, non-fiction, sexuality, biology, gender, neuroscience"
stan smith,art
sir thomas malory,"classics, fantasy, fiction, arthurian, mythology, historical, medieval"
edwidge danticat,"fiction, short stories, historical, literary fiction, school, , "
calla devlin,"young adult, contemporary, realistic fiction, romance, historical, mental health, fiction"
robert heinlein,"science fiction, fiction, science fiction, fiction, fantasy, adventure, audiobook"
styron william,"fiction, historical, holocaust, war, classics, historical, world war ii"
ruby laura,"young adult, fantasy, magic, mystery, fiction, romance, contemporary"
leah johnson,"romance, young adult, lgbt, contemporary, lesbian, queer, fiction"
peirce lincoln,"graphic novel, comic book, childrens, middle grade, fiction, humor, comic book"
clare vanderpool,"historical, middle grade, young adult, fiction, adventure, historical, childrens"
jojo moyes,"romance, fiction, contemporary, chick lit, adult, audiobook, adult"
cecily von ziegesar,"young adult, contemporary, chick lit, fiction, romance, teen, childrens"
black holly,"young adult, romance, fae, fantasy, young adult, fiction, audiobook"
clare cassandra,"fantasy, young adult, romance, paranormal, historical, steampunk, urban"
jodi picoult,"fiction, contemporary, audiobook, adult, adult, realistic fiction, chick lit"
ashley mardell,"non-fiction, lgbt, queer, gender, social, transgender, sexuality"
patricia mckissack,"horror, short stories, middle grade, fiction, childrens, fantasy, historical"
bill o'reilly,"historical, non-fiction, religion, biography, christianity, historical, audiobook"
lore pittacus,"young adult, fantasy, science fiction, fiction, aliens, romance, paranormal"
james patterson,"mystery, fiction, thriller, crime, suspense, mystery, detective"
daniel handler,"young adult, romance, contemporary, fiction, realistic fiction, teen, young adult"
julie murphy,"young adult, lgbt, romance, contemporary, audiobook, fiction, queer"
rosa waters,biography
evison jonathan,", fiction, lgbt, young adult, audiobook, contemporary, coming of age"
shane berryhill,"fantasy, superheroes, adventure, young adult, science fiction, action, fiction"
marci lyn curtis,"young adult, contemporary, mystery, fiction, romance, realistic fiction, abuse"
katie heaney,"young adult, lgbt, contemporary, fiction, mental health, queer, coming of age"
frank herbert,"science fiction, fiction, fantasy, science fiction, classics, audiobook, space"
kerr trace,"lgbt, young adult, science fiction, queer, fiction, dystopia, transgender"
walter dean myers,"young adult, fiction, realistic fiction, crime, contemporary, school, teen"
do anh,"fiction, childrens, humor, school"
andrzej sapkowski,"fantasy, fiction, short stories, audiobook, high fantasy, adventure, polish literature"
acho emmanuel,"non-fiction, middle grade, audiobook, historical, social, race, childrens"
lee stan,"biography, non-fiction, comic book, autobiography, memoir, biography, historical"
stein garth,"fiction, animals, dogs, audiobook, adult, adult, book club"
jr. kurt vonnegut,"fiction, science fiction, classics, humor, time travel, , "
dowd siobhan,"young adult, fiction, realistic fiction, contemporary, teen, ireland, coming of age"
lord emery,"young adult, romance, contemporary, mental health, fiction, mental health, realistic fiction"
jeff garvin,"young adult, lgbt, contemporary, fiction, queer, realistic fiction, mental health"
ellen hopkins,"young adult, poetry, fiction, contemporary, realistic fiction, mental health, teen"
laini taylor,"fantasy, young adult, romance, paranormal, angels, urban, fiction"
linda a. cooney,"romance, fiction, young adult"
james patterson,"young adult, science fiction, fantasy, fiction, aliens, adventure, action"
julie garwood,"romance, romance, mystery, suspense, contemporary, contemporary, fiction"
turow scott,"fiction, mystery, law, thriller, crime, mystery, audiobook"
arthur phillips,"fiction, historical, hungary, travel, , , contemporary"
rick riordan,"fantasy, mythology, young adult, middle grade, fiction, greek mythology, adventure"
king stephen,"horror, fiction, science fiction, thriller, fantasy, mystery, audiobook"
p. c. cast,"fantasy, young adult, vampires, paranormal, romance, fiction, urban"
garber stephanie,"fantasy, young adult, romance, young adult, magic, fiction, audiobook"
norma fox mazer,"young adult, mystery, fiction, teen, thriller, realistic fiction, abuse"
king stephen,"horror, short stories, fiction, fantasy, audiobook, thriller, anthology"
john updike,"fiction, , historical, , religion, american, literary fiction"
jazz jennings,"non-fiction, lgbt, memoir, audiobook, biography, queer, biography"
nicholas j. karolides,"non-fiction, books about books, reference, , historical, education, historical"
tiffany d. jackson,"horror, young adult, thriller, audiobook, fiction, mystery, retellings"
chokshi roshani,"fantasy, young adult, historical, historical, young adult, romance, fiction"
dapier jarrett,"picture books, lgbt, animals, humor, childrens, storytime, fiction"
l. a. meyer,"historical, young adult, adventure, pirates, historical, fiction, audiobook"
anna godberson,"historical, young adult, romance, historical, fiction, historical, chick lit"
john grisham,"fiction, thriller, mystery, law, crime, suspense, mystery"
cook robin,"fiction, thriller, mystery, horror, medical, suspense, science fiction"
brant wendy,"romance, young adult, contemporary, fantasy, paranormal, magic, young adult"
peck richard,"historical, young adult, fiction, middle grade, childrens, historical, humor"
sarah ockler,"young adult, contemporary, romance, realistic fiction, chick lit, young adult, fiction"
dan brown,"fiction, mystery, thriller, mystery, suspense, adventure, crime"
faye lyndsay,"historical, fiction, mystery, historical, retellings, romance, gothic"
asghar fatimah,"poetry, feminism, non-fiction, lgbt, queer, race, adult"
jan wolkers,"fiction, dutch literature, classics, , school, roman, "
carl hiaasen,"young adult, fiction, middle grade, realistic fiction, childrens, mystery, animals"
amanda hocking,"fantasy, young adult, romance, paranormal, fiction, magic, young adult"
blake jillian,"young adult, contemporary, mystery, realistic fiction, romance, thriller, mental health"
leigh bardugo,"fantasy, mystery, fiction, horror, paranormal, urban, adult"
john grisham,"fiction, mystery, thriller, law, audiobook, crime, mystery"
christine baldacchino,"picture books, lgbt, childrens, gender, realistic fiction, fiction, school"
han jenny,"romance, young adult, contemporary, fiction, audiobook, chick lit, young adult"
jordan mechner,"graphic novel, fantasy, comic book, fiction, young adult, adventure, historical"
oh ellen,"middle grade, historical, realistic fiction, fiction, contemporary, historical, war"
king stephen,"horror, fiction, thriller, suspense, mystery, audiobook, adult"
denene millner,"african american, fiction, drama, realistic fiction"
chris crutcher,"young adult, short stories, sports, , fiction, realistic fiction, teen"
dean r. koontz,"horror, fiction, thriller, mystery, suspense, mystery, supernatural"
zack smedley,"young adult, contemporary, lgbt, fiction, realistic fiction, mental health, queer"
king stephen,"horror, fiction, thriller, fantasy, audiobook, paranormal, supernatural"
gray claudia,"young adult, vampires, fantasy, paranormal, romance, paranormal, supernatural"
ava dellaira,"young adult, contemporary, romance, fiction, realistic fiction, audiobook, family"
grant michael,"historical, young adult, historical, war, fiction, alternate history, world war ii"
curtis sittenfeld,"fiction, young adult, contemporary, chick lit, coming of age, boarding school, adult"
tawni o'dell,"fiction, contemporary, coming of age, adult, family, , literary fiction"
nancy holder,"horror, young adult, thriller, mystery, contemporary, fiction, mystery"
doerr anthony,"historical, fiction, historical, war, world war ii, audiobook, adult"
brown scott,"young adult, contemporary, fiction, humor, magic, realistic fiction, teen"
shelagh stephenson,"plays, drama, classics, theatre, school, school, historical"
aveyard victoria,"young adult, dystopia, romance, fiction, young adult, audiobook, magic"
sophie gonzales,"romance, lgbt, young adult, contemporary, queer, fiction, audiobook"
janet evanovich,"mystery, fiction, humor, chick lit, romance, crime, audiobook"
anne cassidy,"young adult, mystery, crime, fiction, contemporary, thriller, realistic fiction"
megan shepherd,"fantasy, young adult, young adult, witches, magic, fiction, urban"
tracy chevalier,"historical, fiction, classics, historical, art, romance, adult"
king stephen,"horror, fiction, fantasy, thriller, mystery, supernatural, suspense"
patricia mccormick,"historical, young adult, fiction, war, historical, survival, realistic fiction"
sidney sheldon,"fiction, thriller, mystery, suspense, mystery, romance, drama"
king stephen,"horror, fiction, sports, baseball, short stories, thriller, suspense"
alexie sherman,"fiction, native american, magic, music, indigenous, , "
jordan l. hawk,"historical, fantasy, m m romance, paranormal, romance, mystery, historical"
matt de la pea,"young adult, sports, realistic fiction, fiction, contemporary, cultural, baseball"
sara shepard,"young adult, mystery, fiction, contemporary, romance, chick lit, thriller"
mike venezia,"art, picture books, non-fiction, biography, childrens"
john updike,"fiction, classics, american, , , literary fiction, 20th century"
brandy colbert,"young adult, contemporary, romance, realistic fiction, fiction, lgbt, audiobook"
amy fellner dominy,"young adult, romance, sports, contemporary, sports, young adult, high school"
layne aliza,"graphic novel, fantasy, middle grade, lgbt, comic book, queer, young adult"
soto gary,young adult
ali hazelwood,"contemporary, fiction, contemporary, adult, audiobook, chick lit, new adult"
robert muchamore,"young adult, fiction, action, adventure, childrens, espionage, thriller"
barry jonsberg,"young adult, middle grade, lgbt, queer, realistic fiction, contemporary, transgender"
alaya dawn johnson,"young adult, science fiction, fantasy, dystopia, romance, fiction, lgbt"
clare cassandra,"fantasy, young adult, lgbt, romance, urban, paranormal, queer"
king stephen,"horror, fiction, mystery, thriller, crime, audiobook, mystery"
erika l. snchez,"young adult, fiction, contemporary, realistic fiction, audiobook, mental health, coming of age"
forest laurie,"fantasy, young adult, romance, audiobook, witches, magic, fiction"
ward jesmyn,"fiction, contemporary, literary fiction, historical, african american, , adult"
jason reynolds,"young adult, realistic fiction, fiction, contemporary, audiobook, african american, coming of age"
rhys jean,"classics, fiction, historical, historical, , literary fiction, feminism"
faye kellerman,"mystery, fiction, crime, thriller, mystery, suspense, judaism"
walton jessica,"picture books, lgbt, childrens, gender, queer, fiction, gender"
brooks geraldine,"historical, fiction, historical, british literature, audiobook, book club, adult"
sheri holman,"historical, fiction, historical, british literature, 19th century, mystery, adult"
combs teshelle,"dragons, fantasy, young adult, urban, fiction, shapeshifters, paranormal"
angie thomas,"young adult, fiction, contemporary, audiobook, realistic fiction, historical, coming of age"
yee paul,"young adult, lgbt, fiction, gay, contemporary, queer, realistic fiction"
alan bennett,"plays, drama, fiction, lgbt, theatre, classics, british literature"
ludlum robert,"fiction, thriller, mystery, espionage, suspense, action, mystery"
molly mcadams,"new adult, romance, contemporary, young adult, college, contemporary, abuse"
meyer stephenie,"fantasy, young adult, science fiction, romance, fiction, dystopia, paranormal"
sue monk kidd,"historical, fiction, historical, audiobook, religion, adult, feminism"
hannah whitten,"fantasy, romance, retellings, young adult, fiction, magic, adult"
adornetto alexandra,"angels, young adult, fantasy, romance, paranormal, paranormal, demons"
matt phelan,"graphic novel, historical, fantasy, middle grade, fiction, childrens, historical"
melissa bashardoust,"fantasy, young adult, retellings, lgbt, lesbian, fairy tales, fiction"
l. c. rosen,"lgbt, young adult, romance, contemporary, queer, fiction, audiobook"
caragh m. o'brien,"young adult, science fiction, dystopia, fiction, fantasy, audiobook, romance"
dav pilkey,"childrens, humor, fiction, graphic novel, middle grade, , comic book"
gabby rivera,"graphic novel, lgbt, young adult, queer, comic book, contemporary, fiction"
jodi picoult,"fiction, lgbt, contemporary, romance, chick lit, adult, adult"
michael crichton,"fiction, science fiction, thriller, mystery, suspense, audiobook, "
gayle e. pitman,"picture books, lgbt, childrens, , non-fiction, queer, historical"
florence gonsalves,"contemporary, young adult, lgbt, mental health, romance, mental health, young adult"
nakajo hisaya,"manga, art, shojo"
seth grahame-smith,"horror, fiction, fantasy, zombies, humor, romance, classics"
nico medina,"non-fiction, historical, lgbt, middle grade, childrens, historical, social"
norma fox mazer,"young adult, fiction, realistic fiction, mental health, abuse, teen, contemporary"
buckley michael,"young adult, fantasy, science fiction, romance, dystopia, paranormal, fiction"
robert cormier,"young adult, historical, fiction, school, war, historical, classics"
debra dockter,"young adult, science fiction, romance, thriller, dystopia, fantasy, contemporary"
sona charaipotra,"young adult, contemporary, mystery, fiction, romance, thriller, audiobook"
stephen wallenfels,"young adult, thriller, mystery, horror, realistic fiction, mystery, suspense"
anna banks,"fantasy, young adult, romance, mermaids, paranormal, mythology, paranormal"
betsy franco,"poetry, young adult, romance, teen, anthology"
lester julius,"historical, young adult, historical, african american, teen, realistic fiction, fiction"
malamud bernard,"fiction, historical, classics, judaism, russia, , "
sparks nicholas,"romance, fiction, chick lit, contemporary, adult, contemporary, adult"
sones sonya,"young adult, poetry, romance, realistic fiction, contemporary, fiction, teen"
adele griffin,"young adult, realistic fiction, contemporary, family, audiobook, teen, young adult"
brad meltzer,"biography, lgbt, sports, picture books, non-fiction, childrens, biography"
james patterson,"mystery, fiction, thriller, crime, audiobook, mystery, suspense"
brittany cavallaro,"mystery, young adult, contemporary, fiction, mystery, audiobook, romance"
chris colfer,"young adult, contemporary, lgbt, fiction, realistic fiction, queer, audiobook"
lyga barry,"young adult, mystery, thriller, horror, crime, fiction, mystery"
haruki murakami,"short stories, fiction, japan, contemporary, magic, , audiobook"
francesca lia block,"young adult, fantasy, poetry, mythology, fiction, magic, romance"
forsyth frederick,"fiction, thriller, mystery, crime, espionage, historical, mystery"
toten teresa,"young adult, mental health, contemporary, romance, realistic fiction, mental health, fiction"
rene ahdieh,"fantasy, young adult, romance, retellings, fiction, enemies to lovers, young adult"
sparks nicholas,"romance, fiction, chick lit, contemporary, adult, adult, audiobook"
sarah dessen,"young adult, romance, contemporary, fiction, chick lit, realistic fiction, teen"
eva gray,"dystopia, young adult, middle grade, science fiction, childrens, survival, post apocalyptic"
r. eric thomas,"young adult, lgbt, contemporary, queer, romance, fiction, audiobook"
james patterson,"mystery, fiction, crime, thriller, suspense, mystery, audiobook"
sarah mylnowski,"fantasy, middle grade, audiobook, fiction, childrens, magic, adventure"
belge kathy,"non-fiction, lgbt, queer, self help, , sexuality, gender"
sarah dessen,"young adult, romance, contemporary, fiction, chick lit, realistic fiction, teen"
stephen metcalfe,"young adult, coming of age, fiction, realistic fiction, contemporary, audiobook, "
christopher john farley,biography
gregory philippa,"historical, young adult, fantasy, historical, fiction, romance, mystery"
ukazu ngozi,"graphic novel, lgbt, romance, young adult, comic book, sports, contemporary"
hannah kristin,"fiction, romance, chick lit, contemporary, drama, adult, womens"
burgess anthony,"fiction, science fiction, dystopia, horror, , , "
peter farrelly,"fiction, humor, comedy, contemporary"
debbie macomber,"romance, fiction, chick lit, contemporary, contemporary, mystery, audiobook"
saundra mitchell,"young adult, lgbt, mystery, contemporary, thriller, mystery, queer"
neil gaiman,"fantasy, fiction, young adult, adventure, audiobook, magic, science fiction"
kazuo ishiguro,"fiction, science fiction, dystopia, contemporary, literary fiction, romance, classics"
hoover colleen,"romance, new adult, contemporary, fiction, contemporary, audiobook, young adult"
sarah j. maas,"young adult, romance, fantasy, romance, fiction, new adult, fae"
adoff jaime,"young adult, realistic fiction, abuse, teen, poetry, mental health, cultural"
wright cynthia,"romance, historical, westerns, historical, historical, romance, amazon"
katie bayerl,"young adult, mystery, contemporary, fiction, mystery, realistic fiction, audiobook"
jackie martling,comedy
amy ignatow,"graphic novel, middle grade, humor, childrens, juvenile, realistic fiction, young adult"
dahl roal,"graphic novel, fantasy, comic book, middle grade, comic book, childrens, fiction"
megan shepherd,"fantasy, young adult, fiction, urban, paranormal, magic, witches"
margaret peterson haddix,"historical, young adult, historical, fiction, school, middle grade, young adult"
alex aster,"romance, romance, young adult, audiobook, fantasy, fiction, magic"
kit rosewater,"middle grade, fiction, sports, childrens, graphic novel, contemporary, realistic fiction"
satrapi marjane,"graphic novel, non-fiction, memoir, biography, historical, iran, graphic novel"
malle mirion,"graphic novel, non-fiction, comic book, feminism, comic book, lgbt, queer"
kelley armstrong,"fantasy, young adult, paranormal, magic, romance, fiction, young adult"
lisa mcmann,"young adult, fantasy, paranormal, romance, fiction, mystery, supernatural"
heather e. schwartz,"biography, childrens, non-fiction"
kit fick,"young adult, contemporary, mystery, thriller, romance, mystery, realistic fiction"
simone elkeles,"romance, young adult, contemporary, high school, contemporary, realistic fiction, young adult"
leigh bardugo,"fantasy, young adult, fiction, romance, young adult, lgbt, magic"
kate a. boorman,"young adult, fantasy, dystopia, romance, fiction, young adult, mystery"
frank herbert,"science fiction, fiction, fantasy, science fiction, classics, audiobook, space"
ashley herring blake,"middle grade, lgbt, contemporary, realistic fiction, queer, young adult, fiction"
meyer marissa,"fantasy, young adult, science fiction, romance, dystopia, retellings, fiction"
deb caletti,"young adult, romance, contemporary, fiction, realistic fiction, teen, chick lit"
rick riordan,"fantasy, mythology, young adult, middle grade, fiction, adventure, audiobook"
mead richelle,"young adult, fantasy, vampires, paranormal, romance, urban, paranormal"
john neufeld,"young adult, fiction, mental health, mental health, psychology, realistic fiction, classics"
nic stone,"young adult, lgbt, romance, contemporary, fiction, queer, realistic fiction"
zora neale hurston,"picture books, childrens, african american, folklore, folklore, fiction, cultural"
wendy phillips,"poetry, young adult, canada, realistic fiction, teen, high school, fiction"
paula hawkins,"fiction, mystery, thriller, mystery, crime, suspense, audiobook"
alison goodman,"fantasy, young adult, dragons, magic, fiction, young adult, high fantasy"
meyer marissa,"fantasy, young adult, science fiction, dystopia, romance, fiction, audiobook"
j.j. austrian,"picture books, lgbt, childrens, animals, love, fiction, "
judy blume,"young adult, fiction, realistic fiction, childrens, contemporary, coming of age, teen"
dumas alexandre,"classics, fiction, historical, adventure, france, historical, "
gow robin,"lgbt, young adult, poetry, contemporary, queer, romance, transgender"
young suzanne,"young adult, paranormal, angels, fantasy, romance, supernatural, fiction"
christopher paul curtis,"historical, young adult, middle grade, fiction, childrens, school, historical"
smythe rachel,"graphic novel, fantasy, romance, mythology, comic book, retellings, greek mythology"
tony allan,"mythology, historical, non-fiction, reference, folklore, religion"
j.d. salinger,"classics, fiction, young adult, , school, coming of age, "
james patterson,"mystery, fiction, thriller, crime, suspense, mystery, audiobook"
ellen hopkins,"young adult, poetry, fiction, contemporary, realistic fiction, , mental health"
gayle forman,"young adult, romance, contemporary, fiction, realistic fiction, music, new adult"
stassen jean-philippe,"graphic novel, comic book, historical, africa, fiction, war, rwanda"
khaled hosseini,"graphic novel, fiction, historical, comic book, adult, graphic novel, classics"
louis sachar,"young adult, fiction, middle grade, , childrens, humor, realistic fiction"
k.l. going,"young adult, realistic fiction, fiction, music, teen, audiobook, humor"
haven kimmel,"memoir, non-fiction, humor, biography, biography, autobiography, book club"
chung arree,"picture books, childrens, art, storytime, family, cultural, fiction"
lev grossman,"fantasy, fiction, magic, audiobook, urban, science fiction, young adult"
hesse hermann,"fiction, philosophy, spirituality, , classics, buddhism, germany"
king stephen,"horror, fiction, thriller, science fiction, audiobook, fantasy, mystery"
combs teshelle,"science fiction, paranormal"
king stephen,"horror, short stories, fiction, thriller, fantasy, anthology, audiobook"
mike mullin,"young adult, dystopia, post apocalyptic, science fiction, survival, fiction, apocalyptic"
brian k. vaughan,"graphic novel, comic book, fiction, war, graphic novel, animals, historical"
gregory scott katsoulis,"young adult, dystopia, science fiction, fiction, fantasy, audiobook, teen"
meyer marissa,"young adult, science fiction, romance, retellings, dystopia, fiction, audiobook"
mia siegert,"lgbt, young adult, contemporary, queer, mental health, realistic fiction, fiction"
ian caldwell,"fiction, mystery, thriller, historical, mystery, suspense, books about books"
kwame alexander,"young adult, poetry, realistic fiction, fiction, audiobook, music, contemporary"
candace bushnell,"chick lit, young adult, fiction, romance, contemporary, teen, audiobook"
debbie macomber,"romance, fiction, contemporary, contemporary, chick lit, audiobook, family"
