Title,Mapped Genres
Destined (House of Night Series),"young adult, vampires, fantasy, paranormal, romance, supernatural, fiction"
Darius the Great Is Not Okay (Darius the Great Series),"young adult, contemporary, lgbt, fiction, mental health, queer, realistic fiction"
Ramona Blue,"young adult, lgbt, contemporary, romance, queer, fiction, audiobook"
Not So Pure and Simple,"young adult, contemporary, romance, fiction, realistic fiction, audiobook, feminism"
The Girls I've Been,"young adult, thriller, lgbt, mystery, contemporary, fiction, lesbian"
Bright World (The Hazards of Love Series),"graphic novel, fantasy, lgbt, young adult, queer, comic book, romance"
Wayward Witch (Brooklyn Brujas Series),"fantasy, young adult, witches, magic, paranormal, fiction, urban"
The Berlin Boxing Club,"historical, young adult, fiction, historical, sports, world war ii, holocaust"
The Five Stages of Andrew Brawley,"young adult, lgbt, contemporary, romance, queer, fiction, mental health"
Trail of Crumbs,"young adult, contemporary, realistic fiction, canada, retellings, fiction, teen"
Fragile Remedy,"lgbt, young adult, science fiction, fantasy, dystopia, queer, romance"
Wilma's Way Home: The Life of Wilma Mankiller,"biography, picture books, non-fiction, historical, indigenous, childrens, native american"
Bayou Magic (The Louisiana Girls Trilogy Series),"middle grade, fantasy, magic, fiction, mermaids, childrens, african american"
Dear Martin,"young adult, contemporary, fiction, realistic fiction, audiobook, race, social"
Pulp,"historical, lgbt, young adult, historical, fiction, queer, contemporary"
Lord of the Flies,"fiction, classics, young adult, school, dystopia, , school"
The You I've Never Known,"young adult, poetry, lgbt, contemporary, realistic fiction, fiction, audiobook"
Crown of Feathers (Crown of Feathers Series),"fantasy, young adult, young adult, fiction, romance, high fantasy, audiobook"
Dope Sick,"young adult, fiction, african american, realistic fiction, magic, urban, fantasy"
Teaching Truly: A Curriculum to Indigenize Mainstream Education,"education, teaching, non-fiction"
The Best at It,"middle grade, lgbt, realistic fiction, fiction, contemporary, queer, audiobook"
Ash,"fantasy, young adult, lgbt, romance, queer, fiction, retellings"
Vol. 4 (Blue Flag Series),"manga, lgbt, romance, contemporary, comic book, young adult, queer"
A ​Court of Silver Flames (A Court of Thorns and Roses Series),"fantasy, romance, romance, fiction, fae, fantasy, audiobook"
I Am Every Good Thing,"picture books, childrens, poetry, african american, realistic fiction, fiction, cultural"
Julián at the Wedding (Julián Series),"picture books, lgbt, childrens, queer, realistic fiction, family, love"
Who Is Michelle Obama? (Who was...? Series),"biography, non-fiction, historical, childrens, biography, education, african american"
Totally Joe (The Misfits Series),"young adult, lgbt, fiction, realistic fiction, queer, middle grade, teen"
Victor and Nora: A Gotham Love Story,"graphic novel, romance, young adult, comic book, comic book, superheroes, graphic novel"
They Both Die at the End,"romance, young adult, lgbt, fiction, contemporary, queer, audiobook"
Annie on My Mind,"lgbt, young adult, romance, queer, fiction, lesbian, classics"
I Am Alfonso Jones,"graphic novel, young adult, fiction, realistic fiction, comic book, contemporary, social"
Out of Darkness,"historical, young adult, , fiction, historical, romance, audiobook"
Esta bien ser diferente/It's Okay to Be Different (Spanish Version),"picture books, childrens, lgbt, cultural, fiction, storytime, family"
A Peacock Among Pigeons,"picture books, lgbt, childrens, realistic fiction"
Darkness Before Dawn,"young adult, realistic fiction, fiction, african american, contemporary, middle grade, teen"
The Boy in the Dress,"fiction, childrens, middle grade, humor, lgbt, young adult, contemporary"
Great,"young adult, retellings, contemporary, fiction, lgbt, romance, realistic fiction"
My Name Is Sally Little Song,"historical, middle grade, historical, fiction, native american, childrens, juvenile"
The Girls Are Never Gone,"horror, young adult, paranormal, lgbt, lesbian, mystery, fantasy"
Alex As Well,"lgbt, young adult, contemporary, realistic fiction, queer, fiction, intersex"
The Color of My Words,"young adult, middle grade, fiction, realistic fiction, historical, spain, cultural"
A Perfect Blank,"young adult, poetry, science fiction, teen"
The ABC's of LGBT+,"non-fiction, lgbt, queer, gender, social, transgender, sexuality"
Gordon Parks: How the Photographer Captured Black and White America,"picture books, biography, non-fiction, photography, historical, childrens, art"
Fly on the Wall: How One Girl Saw Everything,"young adult, contemporary, fantasy, fiction, romance, magic, chick lit"
A Complicated Love Story Set in Space,"lgbt, science fiction, romance, young adult, queer, mystery, audiobook"
So Hard to Say,"young adult, lgbt, romance, fiction, queer, gay, contemporary"
The Accidental Adventures of India McAllister,"childrens, , lgbt, fiction, juvenile, realistic fiction, middle grade"
Saving Ruby King,"fiction, mystery, audiobook, contemporary, literary fiction, thriller, mystery"
The Edge of the Water (Whidbey Island Saga Series),"young adult, mystery, fantasy, fiction, paranormal, supernatural, contemporary"
American Street,"young adult, contemporary, fiction, magic, realistic fiction, audiobook, romance"
The Year Shakespeare Ruined My Life,"young adult, contemporary, lgbt, romance, fiction, audiobook, queer"
The Hate U Give,"young adult, fiction, contemporary, audiobook, realistic fiction, race, social"
Suicide Notes,"young adult, mental health, contemporary, fiction, lgbt, mental health, realistic fiction"
Another Day (Every Day Series),"young adult, romance, fantasy, fiction, contemporary, lgbt, audiobook"
Hold Back the Tide,"horror, fantasy, young adult, mystery, thriller, historical, paranormal"
Detour for Emmy,", young adult, fiction, realistic fiction, , teen"
The Flag of Childhood: Poems From the Middle East,"poetry, cultural, young adult, anthology, adult, childrens"
Sing a Song: How Lift Every Voice and Sing Inspired Generations,"picture books, music, historical, african american, childrens, historical, family"
The Music of What Happens,"lgbt, romance, young adult, contemporary, queer, audiobook, fiction"
Things That Make White People Uncomfortable (Adapted for Young Adults),"non-fiction, social, sports, memoir, race, teen"
In Deeper Waters,"fantasy, lgbt, romance, young adult, queer, pirates, historical"
The Life of Rosa Parks (Famous Lives Series),
A Court of Mist and Fury (A Court of Thorns and Roses Series),"fantasy, romance, young adult, romance, fiction, new adult, fae"
Far from the Tree: How Children and Their Parents Learn to Accept One Another . . . Our Differences Unite Us,"non-fiction, psychology, parenting, science, social, disability, mental health"
grl2grl,"lgbt, young adult, short stories, queer, fiction, lesbian, romance"
Who Was Harriet Beecher Stowe? (Who was...? Series),"biography, non-fiction, historical, childrens, historical, audiobook, civil war"
The Ballad of Ami Miles,"young adult, dystopia, lgbt, science fiction, fiction, romance, cults"
What Is Black Lives Matter? (What was...? Series),"non-fiction, historical, childrens, social, middle grade, historical"
Being Transgender: What You Should Know,"non-fiction, science, transgender"
Homecoming (Fat Angie Series),"young adult, romance, lgbt, fiction"
This Golden Flame,"fantasy, young adult, lgbt, queer, science fiction, fiction, young adult"
Clockwork Princess (The Infernal Devices Series),"fantasy, young adult, romance, paranormal, historical, steampunk, urban"
Extra Credit,"realistic fiction, middle grade, fiction, childrens, school, juvenile, contemporary"
Black Wings Beating (Skybound Series),"fantasy, young adult, lgbt, queer, fiction, audiobook, young adult"
Asking for It,"young adult, contemporary, fiction, feminism, mental health, realistic fiction, ireland"
From the Stars in the Sky to the Fish in the Sea,"picture books, lgbt, childrens, queer, fiction, gender, transgender"
Death Prefers Blondes,"young adult, mystery, lgbt, contemporary, fiction, queer, thriller"
Gossip Girl: A Novel by Cecily von Ziegesar (Gossip Girl Series),"young adult, fiction, chick lit, contemporary, romance, teen, drama"
If I Was Your Girl,"young adult, lgbt, contemporary, romance, fiction, queer, transgender"
It Began with a Page: How Gyo Fujikawa Drew the Way,"picture books, biography, art, non-fiction, historical, childrens, biography"
Boy2Girl,"young adult, fiction, lgbt, contemporary, gender, teen, humor"
Raise the Stakes,"realistic fiction, young adult, teen"
Peanut Goes for the Gold,"picture books, lgbt, childrens, fiction, animals, sports, humor"
Nate Expectations,"middle grade, lgbt, young adult, realistic fiction, audiobook, fiction, humor"
Anger Is a Gift,"young adult, contemporary, lgbt, fiction, queer, realistic fiction, mental health"
25 Women Who Ruled,historical
Michelle,"biography, picture books, african american, non-fiction, childrens, biography"
The Dark Tide,"fantasy, lesbian, lgbt, young adult, romance, queer, enemies to lovers"
Lizard Radio,"young adult, lgbt, science fiction, queer, dystopia, fiction, transgender"
Alma and How She Got Her Name,"picture books, family, childrens, realistic fiction, fiction, cultural, storytime"
Before She Was Harriet,"picture books, biography, non-fiction, historical, poetry, childrens, african american"
For White Folks Who Teach in the Hood... and the Rest of Y'all Too: Reality Pedagogy and Urban Education,"education, non-fiction, teaching, social, race, anti racist, school"
The Gentleman's Guide to Vice and Virtue (Montague Siblings Series),"historical, young adult, romance, lgbt, historical, queer, fiction"
Marriage of a Thousand Lies,"fiction, lgbt, contemporary, queer, romance, adult, lesbian"
Alan Cole Is Not a Coward,"middle grade, lgbt, contemporary, young adult, realistic fiction, fiction, queer"
The Sunday Outing,"historical, picture books, childrens, cultural, family, african american"
Something Happened in Our Town,"picture books, , childrens, race, social, fiction, realistic fiction"
The Gender Quest Workbook: A Guide for Teens and Young Adults Exploring Gender Identity,"lgbt, gender, non-fiction, psychology, queer, gender and sexuality, counselling"
Dreadnought (Nemesis Series),"fantasy, young adult, lgbt, queer, fiction, superheroes, science fiction"
All the Things We Do in the Dark,"young adult, lgbt, mystery, contemporary, thriller, mystery, queer"
Gender Identity: The Search for Self,lgbt
Sparkle Boy,"picture books, lgbt, realistic fiction, childrens, family, gender, "
The Hidden Oracle (The Trials of Apollo Series),"fantasy, mythology, young adult, middle grade, fiction, adventure, greek mythology"
Yasmin the Gardener (Yasmin Series),"childrens, picture books, chapter books, fiction"
All Boys Aren't Blue,"non-fiction, memoir, lgbt, audiobook, queer, , biography"
Heartstopper: Volume One (Heartstopper Series),"graphic novel, young adult, lgbt, queer, contemporary, comic book, fiction"
Teens and Gender Dysphoria,non-fiction
Sonia Sotomayor: A Judge Grows in the Bronx/La juez que creció en el Bronx,"picture books, biography, non-fiction, childrens, cultural, biography, inspirational"
Keeping You a Secret,"lgbt, young adult, romance, queer, fiction, lesbian, contemporary"
GLBT Teens and Society,young adult
Black Rabbit Summer,"young adult, mystery, fiction, contemporary, realistic fiction, teen, thriller"
Music from Another World,"historical, lgbt, young adult, romance, lesbian, historical, queer"
The Lucky List,"romance, lgbt, lesbian, young adult, contemporary, queer, fiction"
Queer: The Ultimate LGBTQ Guide for Teens,"non-fiction, lgbt, queer, self help, , sexuality, gender"
The Sky Is Mine,"young adult, contemporary, fiction, young adult, mental health, abuse, realistic fiction"
Master of One,"fantasy, young adult, lgbt, romance, queer, young adult, fae"
Of Ice and Shadows (Of Fire and Stars Series),"fantasy, lgbt, young adult, lesbian, queer, romance, fiction"
A Better Bad Idea,"young adult, contemporary, thriller, fiction, mystery, romance, mystery"
The Love and Lies of Rukhsana Ali,"young adult, lgbt, contemporary, queer, romance, fiction, lesbian"
The Gold-Threaded Dress,"cultural, childrens, fiction, realistic fiction, chapter books, family, juvenile"
Under the Lights (The Field Party Series),"romance, young adult, contemporary, sports, sports, high school, new adult"
Kate in Waiting,"young adult, romance, contemporary, lgbt, queer, fiction, audiobook"
Abuela,"picture books, cultural, childrens, family, spain, fiction, fantasy"
One Man Guy,"lgbt, young adult, romance, contemporary, queer, fiction, m m romance"
Hidden (House of Night Series),"fantasy, young adult, vampires, paranormal, romance, fiction, supernatural"
Gender Identity: Beyond Pronouns and Bathrooms,"non-fiction, lgbt, historical, middle grade, teen"
The Family Fletcher Takes Rock Island (Family Fletcher Series),"middle grade, lgbt, realistic fiction, family, mystery, fiction, humor"
ttyl (Internet Girls Series),"young adult, fiction, contemporary, realistic fiction, chick lit, , romance"
The New Queer Conscience,"non-fiction, lgbt, queer, audiobook, essays, memoir, social"
Monster Trouble!,"picture books, monsters, halloween, childrens, storytime, fiction, humor"
Everyday Antiracism: Getting Real About Race in School,"education, non-fiction, race, social, teaching, anti racist, grad school"
Empress of the World (Battle Hall Davies Series),"young adult, lgbt, romance, fiction, queer, lesbian, contemporary"
The Moon Within,"middle grade, poetry, lgbt, realistic fiction, fiction, queer, contemporary"
Lola Plants a Garden (Lola Series),"picture books, storytime, gardening, childrens, nature, family, fiction"
Picture Perfect (Sofía Martínez Series),"chapter books, spain, childrens"
Malala: A Hero for All (Step into Reading Series),"biography, non-fiction, childrens, picture books, education, historical"
Monster,"young adult, fiction, realistic fiction, crime, contemporary, school, teen"
What If It's Us (What If It's Us Series),"romance, young adult, lgbt, contemporary, queer, fiction, audiobook"
Encounter,"historical, picture books, cultural, native american, childrens, historical, american"
My Family Plays Music,"music, picture books, family, childrens, african american, cultural, storytime"
Who Was Cesar Chavez? (Who was...? Series),"biography, non-fiction, childrens, historical, biography, chapter books, middle grade"
Between Us and Abuela: A Family Story from the Border,"picture books, family, christmas, childrens, holiday, realistic fiction, fiction"
Stella Brings the Family,"picture books, lgbt, family, childrens, realistic fiction, fiction, school"
Knock Knock: My Dad's Dream for Me,"picture books, realistic fiction, family, childrens, african american, cultural, fiction"
October Mourning: A Song for Matthew Shepard,"poetry, young adult, lgbt, queer, historical, teen, realistic fiction"
Not My Problem,"romance, lesbian, lgbt, young adult, contemporary, queer, fiction"
The House on Mango Street,"fiction, classics, young adult, short stories, school, coming of age, contemporary"
Symptoms of Being Human,"young adult, lgbt, contemporary, fiction, queer, realistic fiction, mental health"
The Butterfly,"historical, picture books, holocaust, childrens, world war ii, fiction, historical"
Willful Machines,"young adult, lgbt, science fiction, romance, dystopia, queer, m m romance"
The Dangerous Art of Blending In,"young adult, lgbt, contemporary, romance, queer, fiction, mental health"
WeirDo Series: Super Weird!,"childrens, graphic novel, fiction, humor, middle grade, school"
Speak,"young adult, fiction, contemporary, realistic fiction, mental health, coming of age, teen"
Damsel,"fantasy, young adult, dragons, fiction, young adult, retellings, audiobook"
Broken Things,"mystery, young adult, thriller, contemporary, mystery, fiction, fantasy"
Slumber Party Payback (Ruby and the Booker Boys Series),", realistic fiction, humor, chapter books"
A Home for Goddesses and Dogs,"middle grade, realistic fiction, lgbt, animals, dogs, death, family"
Finding Community,lgbt
Starry River of the Sky,"fantasy, middle grade, fiction, childrens, china, mythology, adventure"
How It All Blew Up,"young adult, lgbt, contemporary, romance, queer, fiction, audiobook"
Nadia's Hands,"picture books, childrens, cultural, family, pakistan, india, realistic fiction"
The Kite Runner,"fiction, historical, contemporary, , historical, school, "
Lobizona (Wolves of No World Series),"fantasy, young adult, fiction, magic, paranormal, urban, young adult"
Who Was Jesse Owens? (Who was...? Series),"biography, non-fiction, historical, sports, childrens, african american, historical"
The God of Small Things,"fiction, india, historical, classics, literary fiction, contemporary, india"
The Turtle of Oman (The Turtle of Oman Series),"middle grade, fiction, realistic fiction, childrens, family, cultural, young adult"
Safe,"young adult, abuse, realistic fiction, fiction, teen, mental health, contemporary"
House of Sky and Breath (Crescent City Series),"fantasy, romance, romance, fae, fantasy, fiction, urban"
The Dark Prophecy (The Trials of Apollo Series),"fantasy, mythology, young adult, middle grade, fiction, adventure, greek mythology"
Grasshopper Jungle (Grasshopper Jungle Series),"young adult, science fiction, lgbt, fiction, horror, humor, fantasy"
Ship It,"young adult, lgbt, contemporary, romance, queer, fiction, fandom"
Glass (Crank Series),"young adult, poetry, fiction, contemporary, realistic fiction, , mental health"
The Hope Chest,"historical, middle grade, fiction, historical, childrens, school, feminism"
The Dear One,"young adult, realistic fiction, fiction, african american, contemporary, childrens, coming of age"
Say Something,"picture books, childrens, activism, fiction, inspirational, social, storytime"
The Cutting Room Floor,"young adult, mystery, thriller, romance, contemporary, mystery, horror"
I Am Enough,"picture books, childrens, poetry, fiction, cultural, realistic fiction, african american"
Cilla Lee-Jenkins: The Epic Story (Cilla Lee-Jenkins Series),"fiction, middle grade, childrens, realistic fiction, juvenile, chapter books, kids"
Rise to the Sun,"romance, young adult, lgbt, contemporary, lesbian, queer, fiction"
Enough! 20 Protesters Who Changed America,"picture books, non-fiction, social, historical, childrens, activism, biography"
Don't Touch My Hair!,"picture books, childrens, fiction, african american, storytime, cultural, race"
To All the Boys I've Loved Before (To All the Boys I've Loved Before Series),"romance, contemporary, young adult, fiction, audiobook, chick lit, realistic fiction"
Fans of the Impossible Life,"young adult, lgbt, contemporary, mental health, romance, fiction, queer"
The Year They Burned the Books,"young adult, lgbt, fiction, queer, realistic fiction, contemporary, "
Look Past,"mystery, lgbt, young adult, thriller, mystery, realistic fiction, contemporary"
Gone Girl,"fiction, mystery, thriller, mystery, crime, suspense, contemporary"
The Boy Who Didn't Believe in Spring,"picture books, childrens, fiction, kids, african american"
I am Jazz,"picture books, lgbt, , childrens, non-fiction, biography, gender"
Short Stuff: A Young Adult LGBTQ+ Anthology,"lgbt, young adult, short stories, anthology, romance, contemporary, young adult"
Slaughterhouse-Five,"fiction, science fiction, classics, historical, war, , "
The Sissy Duckling,"picture books, lgbt, childrens, animals, fiction, , queer"
The Stars and the Blackness Between Them,"young adult, lgbt, romance, contemporary, queer, fiction, lesbian"
The Glass Castle,"non-fiction, memoir, biography, biography, autobiography, audiobook, book club"
Love Is for Losers,"lgbt, young adult, romance, contemporary, lesbian, queer, fiction"
This Is Your Time,"non-fiction, historical, memoir, biography, childrens, social, picture books"
The Other Side,"picture books, historical, childrens, african american, realistic fiction, cultural, fiction"
Love Drugged,"young adult, lgbt, gay, realistic fiction, fiction, contemporary, romance"
WeirDo Series: Extra Weird!,"childrens, humor, graphic novel, fiction, school"
Living Dead Girl,"young adult, horror, contemporary, fiction, realistic fiction, abuse, dark"
Mindy Kim and the Yummy Seaweed Business (Mindy Kim Series),"middle grade, chapter books, realistic fiction, childrens, fiction, family, food"
Will,"young adult, contemporary, lgbt, realistic fiction, romance, humor, teen"
Jack,"fiction, young adult, lgbt, , coming of age, contemporary, queer"
Ask the Passengers,"young adult, lgbt, contemporary, romance, fiction, realistic fiction, queer"
Home of the Brave: 15 Immigrants Who Shaped U.S. History,"childrens, non-fiction, historical, biography, middle grade"
Mrs. Katz and Tush,"picture books, childrens, fiction, judaism, cultural, realistic fiction, cats"
Ven a Mi Casa,"picture books, childrens, fiction, poetry, classics, humor, kids"
Cemetery Boys,"fantasy, young adult, lgbt, romance, queer, fiction, paranormal"
My Friend Maya Loves to Dance,"picture books, childrens, african american, storytime, fiction, cultural, music"
Putting Makeup on the Fat Boy,"young adult, lgbt, realistic fiction, queer, teen, fiction, contemporary"
The Hookup Artist,"young adult, romance, lgbt, contemporary, fiction, gay"
The Less-dead,"mystery, young adult, lgbt, fiction, religion, teen, suspense"
The Prince and the Dressmaker,"graphic novel, young adult, lgbt, comic book, romance, queer, historical"
I Wish You All the Best (I Wish You All the Best Series),"lgbt, young adult, romance, queer, contemporary, fiction, mental health"
Burned (House of Night Series),"young adult, vampires, fantasy, paranormal, romance, fiction, supernatural"
Early Sunday Morning,"picture books, childrens, family, religion, fiction, music, cultural"
Lies My Girlfriend Told Me,"lgbt, young adult, romance, contemporary, fiction, lesbian, queer"
Going Down Home with Daddy,"picture books, family, childrens, african american, realistic fiction, fiction, cultural"
Beneath a Meth Moon: An Elegy,"young adult, realistic fiction, fiction, contemporary, teen, death, family"
Yasmin the Fashionista (Yasmin Series),"realistic fiction, childrens, picture books, family, chapter books, muslims, fashion"
And She Was,"young adult, lgbt, contemporary, realistic fiction, fiction, romance, teen"
You Brought Me the Ocean,"graphic novel, lgbt, young adult, comic book, romance, fantasy, queer"
¡Vámonos! Let's Go!,"childrens, picture books, school, storytime, spain, music, transport"
Love to Mama: A Tribute To Mothers,"poetry, picture books, cultural, childrens, family, juvenile"
All the World,"picture books, poetry, childrens, family, fiction, storytime, nature"
The Parker Inheritance,"mystery, middle grade, historical, realistic fiction, fiction, audiobook, historical"
Tessa Masterson Will Go to Prom,"lgbt, young adult, contemporary, fiction, queer, lesbian, romance"
The Afterward,"fantasy, young adult, lgbt, queer, romance, lesbian, fiction"
Last Night at the Telegraph Club,"historical, lgbt, romance, young adult, queer, lesbian, fiction"
Making a Play (The Field Party Series),"romance, young adult, sports, contemporary, sports, high school, audiobook"
Who Wants I Scream? (Desmond Cole Ghost Patrol Series),"chapter books, childrens"
Time to Pray,"picture books, islam, cultural, religion, childrens, realistic fiction, family"
When the Emperor Was Divine,"historical, fiction, japan, historical, world war ii, school, war"
The Black Kids,"young adult, historical, contemporary, fiction, audiobook, historical, race"
Ana on the Edge,"middle grade, lgbt, queer, contemporary, sports, realistic fiction, fiction"
Proud: Living My American Dream (Young Readers Edition),"non-fiction, memoir, sports, biography, middle grade, muslims, biography"
I Know Why The Caged Bird Sings,"non-fiction, classics, memoir, biography, autobiography, poetry, feminism"
Freak Show,"young adult, fiction, lgbt, queer, humor, teen, romance"
Dreadnought (H.I.V.E. Series),"science fiction, young adult, fiction, adventure, action, fantasy, childrens"
The Last Confession of Autumn Casterly,"mystery, young adult, thriller, mystery, contemporary, fiction, audiobook"
Far from the Tree,"young adult, contemporary, fiction, audiobook, realistic fiction, lgbt, family"
Zenobia July,"middle grade, lgbt, queer, realistic fiction, young adult, fiction, mystery"
May the Best Man Win,"lgbt, romance, young adult, queer, contemporary, transgender, fiction"
Empire of Storms (Throne of Glass Series),"fantasy, young adult, romance, fae, fiction, new adult, romance"
I Am Human: A Book of Empathy (I Am... Series),"picture books, childrens, fiction, emotion, storytime, mental health, self help"
Can't Take That Away,"lgbt, young adult, contemporary, queer, romance, fiction, transgender"
Bat and the Waiting Game (A Boy Called Bat Series),"middle grade, realistic fiction, fiction, chapter books, autistic spectrum disorder, childrens, animals"
The Mud Pony,"picture books, native american, childrens, horses, cultural, fiction, indigenous"
Iron Heart (Crier's War Series),"fantasy, lesbian, lgbt, queer, young adult, romance, science fiction"
The Art of Fielding,"fiction, sports, baseball, contemporary, literary fiction, audiobook, "
Yang the Youngest and his Terrible Ear (The Yang Family Series),"fiction, childrens, realistic fiction, baseball, cultural, middle grade, music"
Jumpstart the World,"young adult, lgbt, fiction, queer, transgender, realistic fiction, contemporary"
Yasmin the Superhero (Yasmin Series),"picture books, chapter books, realistic fiction, childrens, fiction, juvenile, superheroes"
Sister Sky,"picture books, native american, childrens, environment, native american, historical, cultural"
My Name Is María Isabel,"realistic fiction, cultural, middle grade, childrens, fiction, school, young adult"
The Pull of the Stars,"historical, fiction, historical, audiobook, ireland, lgbt, adult"
Tonight We Rule the World,"young adult, contemporary, lgbt, fiction, realistic fiction, mental health, queer"
Blue Is the Warmest Color,"graphic novel, lgbt, romance, queer, fiction, graphic novel, comic book"
At the Edge of the Universe,"lgbt, young adult, contemporary, science fiction, romance, fiction, queer"
The Underground Girls of Kabul: in Search of a Hidden Resistance in Afghanistan,"non-fiction, historical, feminism, politics, womens, audiobook, asia"
Drum Dream Girl: How One Girl's Courage Changed Music,"picture books, music, biography, poetry, childrens, non-fiction, cultural"
Yasmin the Painter (Yasmin Series),"picture books, art, childrens, realistic fiction, school, fiction, kids"
Just Kill Me,"young adult, lgbt, humor, mystery, fiction, contemporary, ghosts"
The Art of Racing in the Rain,"fiction, animals, dogs, audiobook, adult, adult, book club"
Kaleidoscope Song,"lgbt, romance, young adult, contemporary, queer, music, fiction"
Vol. 2 (Blue Flag Series),"manga, lgbt, romance, young adult, contemporary, comic book, queer"
Beware the Werewolf (Desmond Cole Ghost Patrol Series),"chapter books, childrens, fantasy, fiction"
A Long Pitch Home,"middle grade, sports, realistic fiction, childrens, fiction, cultural, baseball"
A is for Activist,"picture books, childrens, social, non-fiction, activism, feminism, politics"
Sam!,"picture books, lgbt, childrens, transgender, family, gender, gender"
Bad for You (Sea Breeze Series),"romance, new adult, contemporary, contemporary, college, young adult, music"
Who Was Aretha Franklin? (Who was...? Series),"non-fiction, biography, childrens, chapter books, historical, juvenile"
Aristotle and Dante Dive into the Waters of the World (Aristotle and Dante Series),"romance, young adult, lgbt, queer, contemporary, fiction, audiobook"
The Lost Book of the White (The Eldest Curses Series),"fantasy, young adult, lgbt, romance, urban, paranormal, queer"
Jack (Not Jackie),"picture books, lgbt, childrens, family, gender, gender, fiction"
What Was the Underground Railroad? (What was...? Series),"historical, non-fiction, childrens, historical, middle grade, biography, audiobook"
Say the Word,"young adult, lgbt, contemporary, realistic fiction, lesbian, romance, queer"
The Realm of Possibility,"young adult, poetry, lgbt, fiction, contemporary, romance, queer"
Cilla Lee-Jenkins: This Book Is a Classic (Cilla Lee-Jenkins Series),"middle grade, fiction, realistic fiction, family, childrens, cultural, chapter books"
Losing the Field (The Field Party Series),"romance, young adult, contemporary, sports, sports, high school, audiobook"
Any Small Goodness: A Novel of the Barrio,"realistic fiction, middle grade, fiction, childrens, young adult, cultural, juvenile"
The Gift of Ramadan,"picture books, muslims, holiday, religion, childrens, family, realistic fiction"
Notes from the Blender,"young adult, contemporary, realistic fiction, high school, humor, romance, teen"
Under My Hijab,"picture books, realistic fiction, childrens, cultural, muslims, family, religion"
Princess Princess Ever After,"graphic novel, fantasy, lgbt, comic book, middle grade, queer, romance"
The Porcupine of Truth,"young adult, lgbt, realistic fiction, fiction, contemporary, queer, teen"
The Upside of Unrequited (Simonverse Series),"young adult, contemporary, romance, lgbt, fiction, queer, audiobook"
Perfect on Paper,"romance, young adult, lgbt, contemporary, queer, lesbian, fiction"
Brave New World,", science fiction, , school, audiobook, , science fiction"
Indestructible Object,"contemporary, lgbt, young adult, romance, queer, lesbian, polyamory"
Melissa (George),"lgbt, middle grade, fiction, contemporary, realistic fiction, queer, young adult"
Tips on Having a Gay (Ex) Boyfriend (Belle Series),"young adult, romance, teen, lgbt, realistic fiction, contemporary, fiction"
Rainbow Revolutionaries: Fifty LGBTQ+ People Who Made History,"non-fiction, lgbt, historical, biography, middle grade, queer, childrens"
Abuela's Special Letters (Sofía Martínez Series),"childrens, chapter books, picture books, spain"
Body Talk: 37 Voices Explore Our Radical Anatomy,"non-fiction, anthology, essays, short stories, feminism, disability, mental health"
The City Beautiful,"fantasy, historical, young adult, lgbt, historical, queer, mystery"
Full Disclosure,"young adult, contemporary, lgbt, romance, fiction, queer, audiobook"
The Lady's Guide to Petticoats and Piracy (Montague Siblings Series),"historical, young adult, lgbt, historical, fantasy, queer, audiobook"
Henry Aaron's Dream,"picture books, biography, non-fiction, sports, baseball, historical, african american"
Everybody Sees the Ants,"young adult, contemporary, magic, fiction, realistic fiction, fantasy, teen"
Under the Moon: A Catwoman Tale,"graphic novel, comic book, young adult, comic book, superheroes, fiction, graphic novel"
Lovely,"picture books, childrens, storytime, fiction, lgbt, cultural, graphic novel"
Duels and Deception,"historical, romance, young adult, historical, mystery, regency, historical"
Fancy White Trash,"young adult, romance, realistic fiction, contemporary, teen, humor, fiction"
Were I Not a Girl: The Inspiring and True Story of Dr. James Barry,"picture books, lgbt, biography, non-fiction, historical, childrens, feminism"
The Hammer of Thor (Magnus Chase and the Gods of Asgard Series),"fantasy, mythology, young adult, middle grade, fiction, adventure, lgbt"
Lily and Dunkin,"middle grade, lgbt, young adult, realistic fiction, fiction, mental health, mental health"
M or F?,"young adult, lgbt, romance, contemporary, fiction, queer, gay"
LGBTQ Families: The Ultimate Teen Guide,
Imani's Moon,"picture books, childrens, africa, fantasy, cultural, fiction, animals"
Marisol McDonald Doesn't Match (Marisol McDonald Series),"picture books, cultural, childrens, spain, fiction, realistic fiction, family"
Sam and the Lucky Money,"picture books, holiday, childrens, china, family, cultural, asia"
Blood Water Paint,"historical, poetry, young adult, historical, fiction, art, feminism"
Amal Unbound,"middle grade, realistic fiction, young adult, fiction, contemporary, audiobook, family"
Starstruck: The Cosmic Journey of Neil Degrasse Tyson,"biography, picture books, science, non-fiction, african american, space, childrens"
Hunger: A Memoir of (My) Body,"non-fiction, memoir, feminism, audiobook, biography, biography, mental health"
Because,"picture books, music, childrens, inspirational, art, fiction, storytime"
What Happened to Lani Garver,"young adult, fiction, lgbt, mystery, contemporary, queer, teen"
The Purim Superhero,"picture books, judaism, childrens, lgbt, holiday, family, judaism"
Yasmin the Builder (Yasmin Series),"picture books, childrens, fiction, chapter books, school, juvenile, realistic fiction"
My Mother's Sari,"picture books, india, childrens, international, family, cultural, asia"
Stick,"young adult, lgbt, realistic fiction, fiction, contemporary, abuse, coming of age"
One True Way,"middle grade, lgbt, historical, historical, young adult, romance, realistic fiction"
